,reg,dates,anxiete,depression,pbsommeil,ps12mois
255,28,2021-03-16,24.3,18.0,66.4,7.6
256,32,2021-03-16,29.1,28.1,70.8,10.2
257,44,2021-03-16,24.6,21.7,67.4,4.8
258,52,2021-03-16,14.4,13.8,56.9,7.1
259,53,2021-03-16,15.8,20.6,59.9,9.2
260,75,2021-03-16,18.7,19.5,62.9,11.8
261,76,2021-03-16,18.7,18.3,65.1,9.1
262,84,2021-03-16,21.6,22.2,67.1,8.1
263,93,2021-03-16,12.5,16.2,61.1,10.0
264,11,2021-04-22,26.8,22.4,66.0,8.5
265,24,2021-04-22,13.8,16.2,66.9,4.9
266,27,2021-04-22,24.2,27.1,65.2,15.0
267,28,2021-04-22,23.8,23.3,67.3,12.7
268,32,2021-04-22,27.4,28.5,70.8,10.8
269,44,2021-04-22,24.3,26.7,68.4,8.9
270,52,2021-04-22,17.4,17.8,61.1,10.1
271,53,2021-04-22,13.3,16.2,57.6,7.2
272,75,2021-04-22,17.6,18.5,60.8,8.4
273,76,2021-04-22,24.7,24.2,60.3,11.4
274,84,2021-04-22,20.9,18.5,60.5,8.8
275,93,2021-04-22,20.0,21.9,62.5,7.9
276,11,2021-05-18,21.9,18.7,62.7,8.6
277,24,2021-05-18,20.9,14.2,60.1,9.0
278,27,2021-05-18,18.1,16.0,59.6,9.1
279,28,2021-05-18,20.9,19.5,62.6,4.7
280,32,2021-05-18,21.1,19.5,65.9,7.1
281,44,2021-05-18,17.8,18.7,64.2,5.9
282,52,2021-05-18,20.3,14.2,60.4,9.8
283,53,2021-05-18,17.0,10.3,60.8,10.0
284,75,2021-05-18,21.3,17.2,63.7,8.7
285,76,2021-05-18,22.3,21.8,62.6,9.1
286,84,2021-05-18,23.3,24.3,70.9,9.9
287,93,2021-05-18,16.5,23.1,61.0,9.5
288,11,2021-06-27,20.5,17.5,72.1,8.8
289,24,2021-06-27,20.3,14.6,70.1,9.0
290,27,2021-06-27,17.1,18.3,58.7,12.1
291,28,2021-06-27,20.6,14.1,63.6,12.8
292,32,2021-06-27,23.4,16.6,70.6,6.1
293,44,2021-06-27,17.5,14.4,66.6,8.6
294,52,2021-06-27,15.7,11.6,58.5,9.5
295,53,2021-06-27,15.9,12.6,67.9,9.8
296,75,2021-06-27,12.6,11.0,60.6,5.2
297,76,2021-06-27,24.4,16.5,65.6,10.5
298,84,2021-06-27,15.4,12.7,65.4,10.7
299,93,2021-06-27,21.9,17.8,64.7,10.3
300,11,2021-07-17,22.5,16.0,62.2,8.5
301,24,2021-07-17,17.2,11.1,59.1,7.6
302,27,2021-07-17,16.0,9.1,55.1,10.2
303,28,2021-07-17,25.8,12.3,61.6,6.8
304,32,2021-07-17,19.6,16.1,56.6,7.1
305,44,2021-07-17,15.8,11.7,55.1,5.8
306,52,2021-07-17,18.0,8.0,52.1,9.5
307,53,2021-07-17,13.9,14.8,62.3,7.3
308,75,2021-07-17,16.7,12.7,59.4,12.0
309,76,2021-07-17,18.0,12.1,60.2,8.4
310,84,2021-07-17,22.3,11.1,62.1,10.6
311,93,2021-07-17,20.1,12.6,57.0,14.0
312,11,2021-08-01,26.7,15.7,61.5,11.7
313,24,2021-08-01,25.1,22.0,63.0,8.2
314,27,2021-08-01,23.5,10.4,64.7,8.3
315,28,2021-08-01,19.7,14.5,71.9,7.8
316,32,2021-08-01,27.5,19.0,67.0,10.2
317,44,2021-08-01,25.2,14.7,58.1,7.7
318,52,2021-08-01,17.2,12.9,62.3,8.8
319,53,2021-08-01,17.4,10.6,62.3,6.7
320,75,2021-08-01,22.3,15.4,65.1,12.3
321,76,2021-08-01,24.7,16.0,58.7,12.8
322,84,2021-08-01,25.3,16.5,62.2,6.9
323,93,2021-08-01,14.5,8.5,64.8,10.8
324,11,2021-10-01,25.6,16.7,66.9,8.1
325,24,2021-10-01,24.1,10.2,64.8,13.7
326,27,2021-10-01,25.4,20.6,66.7,14.2
327,28,2021-10-01,24.5,20.2,71.9,10.2
328,32,2021-10-01,30.6,15.5,78.1,12.1
329,44,2021-10-01,26.5,18.0,69.2,10.5
330,52,2021-10-01,18.2,12.6,70.7,11.0
331,53,2021-10-01,30.3,16.0,66.7,10.4
332,75,2021-10-01,29.5,19.9,70.8,9.4
333,76,2021-10-01,26.8,11.7,73.2,6.9
334,84,2021-10-01,25.4,15.9,69.6,7.6
335,93,2021-10-01,20.6,16.6,67.0,10.0
