,age,dates,anxiete,anxiete_inf,anxiete_sup,depression,depression_inf,depression_sup,pbsommeil,pbsommeil_inf,pbsommeil_sup,ps12mois,ps12mois_inf,ps12mois_sup
84,65 ans et plus,2020-11-04,14.3,11.4,17.7,14.4,11.5,17.9,54.1,49.5,58.6,,,
85,18-24 ans,2020-11-24,25.4,19.1,32.9,31.5,24.6,39.3,69.2,61.3,76.1,,,
86,25-34 ans,2020-11-24,26.7,21.8,32.4,27.5,22.5,33.2,75.9,70.4,80.7,,,
87,35-49 ans,2020-11-24,20.5,12.3,24.2,24.6,21.0,28.5,69.9,65.8,73.7,,,
88,50-64 ans,2020-11-24,18.3,15.3,21.8,21.1,17.9,24.7,65.9,61.8,69.8,,,
89,65 ans et plus,2020-11-24,8.4,6.3,11.3,14.9,12.0,18.4,52.9,48.4,57.3,,,
90,18-24 ans,2020-12-15,33.0,27.0,39.5,25.0,19.7,31.2,72.6,66.2,78.2,,,
91,25-34 ans,2020-12-15,21.7,17.2,27.1,22.5,17.8,28.0,70.1,64.3,75.4,,,
92,35-49 ans,2020-12-15,24.0,20.6,27.8,23.5,20.1,27.3,66.8,62.6,70.7,,,
93,50-64 ans,2020-12-15,16.6,13.6,20.0,21.1,17.8,24.8,65.5,61.3,69.5,,,
94,65 ans et plus,2020-12-15,13.7,10.8,17.3,13.5,10.6,17.1,61.0,56.4,65.5,,,
95,18-24 ans,2021-01-19,28.7,23.1,35.1,21.4,16.4,27.4,68.9,62.3,74.8,,,
96,25-34 ans,2021-01-19,24.2,19.6,29.5,23.2,18.6,28.5,70.4,64.8,75.5,,,
97,35-49 ans,2021-01-19,19.4,16.2,23.0,20.0,16.8,23.7,69.2,65.1,73.0,,,
98,50-64 ans,2021-01-19,16.3,13.4,19.8,18.5,15.4,22.2,64.2,60.0,68.3,,,
99,65 ans et plus,2021-01-19,14.8,11.6,18.7,16.6,13.3,20.7,64.5,59.6,69.1,,,
100,18-24 ans,2021-02-14,38.6,31.3,46.5,31.5,24.8,39.2,71.4,63.9,78.0,10.9,6.8,17.2
101,25-34 ans,2021-02-14,27.4,22.5,32.9,23.6,19.1,28.9,65.5,59.8,70.8,8.9,6.1,12.8
102,35-49 ans,2021-02-14,24.0,20.6,27.8,22.2,18.9,26.0,68.6,64.4,72.5,11.1,8.7,14.1
