numDep,DISP_TP6018,DISP_Q118,DISP_MED18,DISP_Q318,DISP_EQ18,DISP_D118,DISP_D218,DISP_D318,DISP_D418,DISP_D618,DISP_D718,DISP_D818,DISP_D918,DISP_RD18,DISP_S80S2018,DISP_GI18,DISP_PACT18,DISP_PTSA18,DISP_PCHO18,DISP_PBEN18,DISP_PPEN18,DISP_PPAT18,DISP_PPSOC18,DISP_PPFAM18,DISP_PPMINI18,DISP_PPLOGT18,DISP_PIMPOT18,DISP_NOTE18
19,19.333333333333336,14923.666666666666,19757.333333333332,26268.333333333332,0.5733333333333331,11292.333333333334,13930.666666666666,15904.333333333334,17861.333333333332,21965.333333333332,24584.666666666668,28251.666666666668,34339.666666666664,3.033333333333333,3.7333333333333334,0.2614666666666667,60.96333333333333,53.23000000000001,3.1299999999999994,4.603333333333334,37.49666666666667,9.520000000000001,8.06,2.3633333333333337,3.473333333333333,2.223333333333333,-16.040000000000003,0.0
21,18.984745762711864,16232.209302325582,21579.883720930233,28609.883720930233,0.5691860465116281,12015.232558139534,15037.209302325582,17308.13953488372,19413.25581395349,23970.93023255814,26845.0,30797.325581395347,38113.604651162794,3.1744186046511627,3.9255813953488357,0.26408139534883734,71.38372093023257,63.879761904761914,2.966666666666667,4.890476190476191,30.852325581395345,8.586046511627906,7.232558139534884,2.265116279069768,2.9255813953488374,2.0418604651162795,-18.054651162790705,0.0
22,17.247058823529407,16011.27659574468,21217.23404255319,27728.297872340427,0.5529787234042552,12054.468085106382,14852.340425531915,17091.702127659573,19158.72340425532,23397.659574468085,26083.82978723404,29770.212765957447,36427.02127659575,3.0382978723404257,3.7340425531914883,0.25863829787234055,65.4191489361702,56.93404255319151,2.997872340425532,5.487234042553189,35.257446808510636,8.800000000000002,7.529787234042551,2.1787234042553187,3.3489361702127654,2.002127659574468,-17.00638297872341,0.0
23,20.8,14496.0,19894.0,26186.0,0.5960000000000001,10506.0,13350.0,15606.0,17704.0,22206.0,24804.0,27928.0,34330.0,3.3199999999999994,4.08,0.2752,60.160000000000004,53.06,2.8,4.3,39.42,8.600000000000001,8.720000000000002,1.98,4.32,2.42,-16.9,0.0
24,20.5125,14286.153846153846,19461.53846153846,26149.615384615383,0.6123076923076923,10646.153846153846,13201.538461538461,15375.76923076923,17392.30769230769,21660.76923076923,24371.153846153848,28156.153846153848,34714.230769230766,3.2846153846153845,4.126923076923077,0.2786538461538462,59.800000000000004,51.38076923076923,3.1115384615384616,5.3076923076923075,37.9,9.757692307692308,8.665384615384614,2.0461538461538464,4.119230769230769,2.5,-16.123076923076923,0.0
25,23.075000000000014,14549.35064935065,19730.25974025974,26670.51948051948,0.6087012987012986,10892.987012987012,13425.974025974027,15594.805194805194,17655.714285714286,22064.155844155845,24883.506493506495,28748.051948051947,35404.155844155845,3.2402597402597393,3.996103896103896,0.2711558441558442,68.6077922077922,61.769014084507084,3.38169014084507,4.929577464788731,30.04675324675326,7.420779220779224,10.481818181818177,3.044155844155844,4.5870129870129865,2.8506493506493507,-16.55714285714286,0.0
26,20.330357142857142,14657.1875,19567.1875,25833.4375,0.5684375000000002,11041.09375,13593.4375,15667.8125,17596.25,21713.28125,24267.1875,27807.96875,34164.21875,3.0875,3.8046875000000004,0.26315625000000004,65.32031249999999,57.30781250000002,3.671875,4.340625000000001,31.714062499999994,9.545312500000001,9.267187499999999,3.0890625000000003,3.656250000000001,2.521875000000001,-15.846874999999999,0.0
27,26.499999999999996,13786.333333333334,18615.0,24784.833333333332,0.5878333333333337,10446.833333333334,12779.0,14795.666666666666,16709.166666666668,20723.833333333332,23270.833333333332,26531.333333333332,32480.833333333332,3.0966666666666653,3.7149999999999994,0.25848333333333334,66.63833333333338,61.10377358490565,3.6981132075471694,3.3490566037735854,29.408333333333328,6.126666666666669,12.511666666666665,3.8316666666666666,5.496666666666667,3.183333333333333,-14.684999999999997,0.0
28,23.72222222222222,14305.454545454546,18983.090909090908,24720.727272727272,0.5447272727272726,10715.636363636364,13236.0,15287.272727272728,17128.18181818182,20909.090909090908,23269.090909090908,26422.727272727272,31924.545454545456,2.9654545454545453,3.4963636363636366,0.24310909090909094,65.94000000000001,59.37959183673468,3.7408163265306125,3.4428571428571413,31.17454545454545,6.40909090909091,11.076363636363638,4.074545454545454,4.305454545454545,2.6963636363636354,-14.600000000000001,0.01818181818181818
29,16.695348837209306,16151.703703703704,21133.25925925926,27344.666666666668,0.5302962962962964,12241.851851851852,15049.25925925926,17203.333333333332,19185.25925925926,23261.555555555555,25806.74074074074,29291.703703703704,35440.0,2.9185185185185167,3.5325925925925934,0.246237037037037,68.79777777777781,60.95488721804511,3.266165413533835,4.745112781954889,32.745925925925924,7.577777777777783,7.53851851851852,2.2140740740740745,3.333333333333334,1.9911111111111108,-16.660000000000007,0.007407407407407408
