annee_universitaire;composante_id_paysage;composante_lib;composante_id_uai;etablissement_id_paysage;etablissement_lib;composante_localisation;effectif;effectif_sans_cpge;effectif_total;effectif_total_sans_cpge;sexef;sexem;bac1;bac2;bac3;bac4;bac5;bac6;bac7;bac_ageavance;bac_agea_l_heure;bac_ageretard;bac_ageso;attrac_nat_dep_bac1;attrac_nat_dep_bac2;attrac_nat_dep_bac3;attrac_nat_dep_bac4;attrac_nat_dep_bac5;attrac_nat_dep_bac9;mobilite_internm;attrac_interne;gd_discisciplinedsa;gd_discisciplinellsh;gd_discisciplinesi;gd_discisciplinestaps;discipline02;discipline04;discipline05;discipline06;discipline32;discipline09;discipline15;discipline33;discipline10;composante_id_region;composante_region;composante_id_academie;composante_academie;rentree;annee
2014-15;Rb9OR;INSPÉ de l'Académie de  Montpellier;0342322P;4TeGd;Languedoc-Roussillon Universités;Occitanie>Montpellier;2910;2910;3026;3026;2066;844;842;694;913;188;107;32;134;145;1816;815;134;949;482;1278;67;;134;139;124;126;2419;214;151;126;181;289;1889;60;66;132;16;151;R76;Occitanie;A11;Montpellier;2014;2015
2014-15;WjV5I;INSPÉ de l'Académie de Martinique;9720894P;z3hdL;Université des Antilles;Martinique;440;440;468;468;359;81;152;73;128;39;18;14;16;30;235;159;16;336;27;58;3;;16;4;3;;440;;;;;;440;;;;;;R02;Martinique;A31;Martinique;2014;2015
2014-15;X3ml2;INSPÉ de l'Académie de Strasbourg;0673068W;4k25D;Université de Strasbourg;Grand Est>Strasbourg;1704;1704;1708;1708;1263;441;448;455;584;60;60;21;76;61;1222;345;76;732;544;335;17;;76;59;56;;1704;;;;;23;1681;;;;;;R44;Grand Est;A15;Strasbourg;2014;2015
2014-15;cb6n7;INSPÉ Clermont Auvergne;0632024H;n1E6T;Université Blaise-Pascal;Auvergne-Rhône-Alpes>Clermont-Ferrand;873;873;873;873;604;269;227;211;337;37;21;10;30;46;635;162;30;274;332;229;8;;30;24;20;22;672;102;77;22;42;79;541;10;27;65;10;77;R84;Auvergne-Rhône-Alpes;A06;Clermont-Ferrand;2014;2015
2014-15;iyM2P;INSPÉ de l'Académie de Nancy-Metz;0542497W;t6Cq5;Université de Lorraine;Grand Est>Nancy-Metz;1890;1890;1903;1903;1326;564;520;473;657;80;81;24;55;82;1285;468;55;891;637;300;7;;55;32;31;37;1480;205;168;37;141;147;1188;4;50;155;;168;R44;Grand Est;A12;Nancy-Metz;2014;2015
2014-15;mNtOh;INSPÉ Normandie Caen;0142393A;p25Q3;Université de Caen Normandie;Normandie;1159;1159;1159;1159;824;335;339;333;363;39;38;6;41;53;823;242;41;566;404;145;3;;41;29;29;16;888;160;95;16;45;118;725;;23;137;;95;R28;Normandie;A70;Normandie;2014;2015
2015-16;58dQ3;INSPÉ de l’Académie d'Aix-Marseille;0134065Y;xJdyB;Aix-Marseille Université;Provence-Alpes-Côte d'Azur>Aix-Marseille;3054;3054;3061;3061;2103;951;813;701;904;177;143;70;246;187;1709;912;246;1327;576;868;37;;246;193;172;;3023;31;;;;;3023;;11;20;;;R93;Provence-Alpes-Côte d'Azur;A02;Aix-Marseille;2015;2016
2015-16;KK7hH;INSPÉ de l'Académie de Limoges;0875078X;nkbwh;Université de Limoges;Nouvelle-Aquitaine>Limoges;640;640;640;640;440;200;182;147;222;26;20;3;40;22;437;141;40;263;212;124;1;;40;35;35;;640;;;;;;640;;;;;;R75;Nouvelle-Aquitaine;A22;Limoges;2015;2016
2015-16;M8Y6c;INSPÉ de l'Académie de Versailles;0783634B;W6CUQ;Université de Cergy-Pontoise;Île-de-France>Versailles;4857;4857;4869;4869;3572;1285;1160;1259;1447;389;251;74;277;268;2709;1603;277;1326;1414;1790;50;;277;191;175;;4857;;;;;;4857;;;;;;R11;Île-de-France;A25;Versailles;2015;2016
2015-16;Rb9OR;INSPÉ de l'Académie de  Montpellier;0342322P;4TeGd;Languedoc-Roussillon Universités;Occitanie>Montpellier;3178;3178;3179;3179;2304;874;868;804;997;190;132;61;126;165;2024;863;126;1140;545;1314;52;1;126;105;81;22;3156;;;22;132;155;2869;;;;;;R76;Occitanie;A11;Montpellier;2015;2016
2015-16;VUz2Y;INSPÉ de Bourgogne;0212218X;Lr94O;Université de Bourgogne;Bourgogne-Franche-Comté>Dijon;1370;1370;1373;1373;895;475;351;353;481;62;64;24;35;75;922;338;35;478;529;320;7;1;35;28;28;;1370;;;;;;1370;;;;;;R27;Bourgogne-Franche-Comté;A07;Dijon;2015;2016
2015-16;X3ml2;INSPÉ de l'Académie de Strasbourg;0673068W;4k25D;Université de Strasbourg;Grand Est>Strasbourg;1885;1885;1894;1894;1366;519;477;518;647;83;74;18;68;83;1348;386;68;798;610;394;15;;68;54;51;;1885;;;;;21;1864;;;;;;R44;Grand Est;A15;Strasbourg;2015;2016
2016-17;45g5M;ESPE de la Polynésie Française;9840468L;zepT6;Université de la Polynésie Française;Collectivités d'outre-mer>Polynésie Française;421;421;422;422;336;85;116;82;85;92;13;18;15;24;228;154;15;375;;30;1;;15;2;1;;421;;;;;;421;;;;;;R00;Collectivités d'outre-mer;A41;Polynésie Française;2016;2017
2016-17;49xLF;INSPÉ Toulouse Occitanie-Pyrénées;0312877J;HqAYu;Université Toulouse - Jean Jaurès;Occitanie>Toulouse;3093;3093;3215;3215;2174;919;819;670;1081;133;173;67;150;161;2060;722;150;868;754;1271;50;;150;115;85;;3092;1;0;;;;3092;;1;0;;0;R76;Occitanie;A16;Toulouse;2016;2017
2016-17;68SKK;INSPÉ de l'Académie de Bordeaux;0333296D;90I54;Université de Bordeaux;Nouvelle-Aquitaine>Bordeaux;2982;2982;2995;2995;2059;923;794;791;1041;108;100;41;107;179;2078;618;107;1109;733;1008;25;;107;94;87;;2982;;;;;;2982;;;;;;R75;Nouvelle-Aquitaine;A04;Bordeaux;2016;2017
