Type d'établissement;Nombre d'étudiants inscrits (inscriptions principales) y compris doubles inscriptions CPGE;Âge au baccalauréat : En avance au bac d'un an ou plus;Âge au baccalauréat : A l'heure;Âge au baccalauréat : En retard au bac d'un an ou plus;Âge au baccalauréat : Non renseigné ou non bachelier;etablissement_code_commune;etablissement_commune;Dernier établissement;rentree
Université;23075;1367;14232;4918;2551;37261;Tours;Université de Tours;2012
Université;21086;674;8564;7021;4731;93079;Villetaneuse;Université Sorbonne Paris Nord;2012
Université;33853;3240;21214;6209;3190;69266;Villeurbanne;Université Claude Bernard - Lyon 1;2012
École;825;25;503;160;137;57463;Metz;Université de Lorraine;2012
Autre établissement;1516;175;1028;96;216;69387;Lyon 7e;Sciences Po Lyon;2012
Université;22136;1204;12864;4622;3438;86194;Poitiers;Université de Poitiers;2012
Université;25677;2267;17566;4194;1644;59350;Lille;Université de Lille;2012
École;3530;397;2325;225;583;31555;Toulouse;Toulouse INP;2012
Autre établissement;607;24;125;443;15;97607;Dembeni;Centre Universitaire de Mayotte;2012
École;326;65;211;11;39;75105;Paris  5e;Chimie ParisTech-PSL;2012
Université;15813;847;9379;3663;1923;34172;Montpellier;Université de Montpellier;2012
École;892;50;440;174;228;75105;Paris  5e;IAE Paris - Sorbonne Business School;2012
Université;58970;3495;32963;14890;7331;13207;Marseille  7e;Aix-Marseille Université;2012
Université;10292;371;5511;2644;1766;59183;Dunkerque;Université du Littoral Côte d'Opale;2012
Université;17383;818;11113;3874;1565;29019;Brest;Université de Bretagne Occidentale;2013
École;1562;238;938;68;318;59009;Villeneuve-d'Ascq;Centrale Lille Institut;2013
Université;22531;1238;13039;5984;2193;51454;Reims;Université de Reims Champagne-Ardenne;2013
Université;24443;2359;13462;4166;4448;75113;Paris 13e;Université de Paris;2013
Autre établissement;1382;123;490;239;530;77083;Champs-sur-Marne;Paris-Est Sup;2013
Université;26708;1621;14886;5912;4267;6088;Nice;Université Côte d'Azur;2013
École;1485;384;805;38;258;75105;Paris  5e;École normale supérieure PSL;2013
Université;24003;1306;13229;6239;2612;80021;Amiens;Université de Picardie Jules-Verne;2013
Université;46306;3076;29562;8984;4523;33063;Bordeaux;Université de Bordeaux;2013
Université;10639;454;5901;3165;877;77083;Champs-sur-Marne;Université Gustave Eiffel;2013
Université;26177;1627;15451;6365;2599;76451;Mont-Saint-Aignan;Université de Rouen Normandie;2013
Université;14779;669;8409;3859;1831;45234;Orléans;Université d'Orléans;2013
Université;25118;997;12699;7078;3910;31555;Toulouse;Université Toulouse - Jean Jaurès;2013
Université;7250;225;3568;2081;1351;76351;Le Havre;Université Le Havre Normandie;2013
École;1075;66;763;133;113;65440;Tarbes;École nationale d'ingénieurs de Tarbes;2013
Université;11329;469;6334;2738;1462;64445;Pau;Université de Pau et des Pays de l'Adour;2013
Université;3970;187;2529;910;333;2B096;Corte;Université de Corse Pasquale Paoli;2013
École;414;77;287;17;33;91477;Palaiseau;Institut d'optique Graduate School;2013
Université;15769;756;9098;3938;1964;38185;Grenoble;Université Grenoble Alpes;2013
Université;15773;624;8525;4768;1672;95127;Cergy;CY Cergy Paris Université;2013
Université;13236;674;6781;4819;882;97120;Pointe-à-Pitre;;2013
École;663;42;438;103;80;29019;Brest;École nationale d'ingénieurs de Brest;2013
Autre établissement;3462;261;1449;286;1466;38421;Saint-Martin-d'Hères;Université Grenoble Alpes;2013
École;1820;359;1132;80;249;69387;Lyon 7e;École normale supérieure de Lyon;2013
Université;22044;1520;10862;3617;4053;75105;Paris  5e;Sorbonne Université;2013
Grand établissement;96;10;49;13;24;75114;Paris 14e;Observatoire de Paris;2013
Université;28345;1255;15208;8039;3416;94028;Créteil;Université Paris-Est Créteil;2013
Université;6524;241;3425;1981;831;84007;Avignon;Avignon Université;2013
Grand établissement;2807;667;1337;106;697;92019;Châtenay-Malabry;CentraleSupélec;2013
Université;14757;768;9138;2610;2001;63113;Clermont-Ferrand;Université Clermont Auvergne;2014
Université;23250;2275;13282;3899;3792;75113;Paris 13e;Université de Paris;2014
École;358;42;263;10;43;59009;Villeneuve-d'Ascq;Centrale Lille Institut;2014
Université;38271;2147;24486;7232;4104;44109;Nantes;Université de Nantes;2014
Université;16882;925;8220;3244;4235;75105;Paris  5e;Université Sorbonne Nouvelle - Paris 3;2014
Université;24580;1947;16303;4039;2289;35238;Rennes;Université de Rennes 1;2014
Université;27775;1323;14343;7032;4649;69387;Lyon 7e;Université Lumière - Lyon 2;2014
Autre établissement;1666;223;1234;74;135;59350;Lille;Sciences Po Lille;2014
Université;26819;1677;16379;6174;2477;76451;Mont-Saint-Aignan;Université de Rouen Normandie;2014
Autre établissement;1841;179;1210;161;291;13001;Aix-en-Provence;Sciences Po Aix;2014
Autre établissement;3816;81;2200;990;464;81004;Albi;Institut national universitaire Jean-François Champollion;2014
École;671;67;462;80;62;93070;Saint-Ouen-sur-Seine;ISAE-Supméca;2014
École;2806;134;1723;355;594;90094;Sevenans;Université de technologie de Belfort-Montbéliard;2014
École;1413;106;964;152;191;18033;Bourges;Institut national des sciences appliquées Centre Val de Loire;2014
Université;18006;912;10142;4771;1620;59009;Villeneuve-d'Ascq;Université de Lille;2014
École;1760;190;1222;66;282;76575;Saint-Étienne-du-Rouvray;Institut national des sciences appliquées de Rouen Normandie;2014
Université;21802;857;8349;6332;6264;93066;Saint-Denis;Université Paris 8 - Vincennes - Saint-Denis;2014
École;832;60;549;98;125;25056;Besançon;École nationale supérieure de mécanique et des microtechniques;2014
Université;20391;666;9436;6129;4052;93079;Villetaneuse;Université Sorbonne Paris Nord;2014
École;972;31;616;161;164;57463;Metz;Université de Lorraine;2014
Université;24200;1382;14634;4428;3749;86194;Poitiers;Université de Poitiers;2014
Grand établissement;5040;1158;2610;148;1124;91272;Gif-sur-Yvette;CentraleSupélec;2014
Université;15369;713;8887;3329;2011;63113;Clermont-Ferrand;Université Clermont Auvergne;2014
Autre établissement;801;17;219;556;9;97607;Dembeni;Centre Universitaire de Mayotte;2014
Université;19380;916;9420;3421;3958;59009;Villeneuve-d'Ascq;Université de Lille;2014
Université;21249;818;11956;5812;2639;35238;Rennes;Université Rennes 2;2014
Grand établissement;2773;214;1055;278;1226;75113;Paris 13e;École des hautes études en sciences sociales;2014
Université;10794;633;6102;3227;688;97120;Pointe-à-Pitre;Université des Antilles;2014
Université;3486;158;1799;1266;263;98738;Punaauia;Université de la Polynésie Française;2014
Université;19103;963;12544;3624;1730;29019;Brest;Université de Bretagne Occidentale;2015
Université;19269;685;9513;5088;3592;34172;Montpellier;Université Paul-Valéry - Montpellier 3;2015
Université;20291;954;12550;4194;2195;31555;Toulouse;Université Toulouse Capitole;2015
Université;24559;2356;14387;3987;3819;75113;Paris 13e;Université de Paris;2015
Autre établissement;1393;117;522;229;525;77083;Champs-sur-Marne;Paris-Est Sup;2015
Université;21492;1022;13447;4273;2280;25056;Besançon;Université de Franche-Comté;2015
Grand établissement;10176;944;6331;939;1957;75116;Paris 16e;Université Paris Dauphine - PSL;2015
Université;28411;1694;17704;6061;2558;76451;Mont-Saint-Aignan;Université de Rouen Normandie;2015
Université;17473;788;10257;3878;2008;45234;Orléans;Université d'Orléans;2015
École;716;62;467;89;98;14118;Caen;École nationale supérieure d'ingénieurs de Caen;2015
Autre établissement;5055;304;3405;1206;140;59009;Villeneuve-d'Ascq;Université de Lille;2015
Université;7479;221;3893;1848;1414;76351;Le Havre;Université Le Havre Normandie;2015
Université;14995;690;9075;3296;1571;33318;Pessac;Université Bordeaux Montaigne;2015
Université;19134;927;11129;4763;1732;59009;Villeneuve-d'Ascq;Université de Lille;2015
Université;10849;362;5866;2764;1616;59032;Aulnoy-lez-Valenciennes;Université Polytechnique Hauts-de-France;2015
École;1775;209;1230;56;280;76575;Saint-Étienne-du-Rouvray;Institut national des sciences appliquées de Rouen Normandie;2015
Université;15661;997;9038;3463;1788;78646;Versailles;Université de Versailles Saint-Quentin-en-Yvelines;2015
Université;2854;1738;401;205;510;98818;Nouméa;Université de la Nouvelle-Calédonie;2015
École;1930;160;1437;158;175;67482;Strasbourg;Institut national des sciences appliquées de Strasbourg;2015
Autre établissement;1478;138;1074;103;162;31555;Toulouse;Sciences Po Toulouse;2015
Université;41391;3760;25794;6294;3575;69266;Villeurbanne;Université Claude Bernard - Lyon 1;2015
Autre établissement;3300;279;1384;248;1389;38421;Saint-Martin-d'Hères;Université Grenoble Alpes;2015
Université;25813;1555;15728;4471;3716;86194;Poitiers;Université de Poitiers;2015
Grand établissement;5646;639;3761;493;752;75113;Paris 13e;Arts et Métiers Sciences et Technologies;2015
Université;8773;237;4267;2079;2015;66136;Perpignan;Université de Perpignan Via Domitia;2015
Université;21087;1119;10743;3356;4260;59009;Villeneuve-d'Ascq;Université de Lille;2015
Grand établissement;58111;2838;35200;10984;8087;54395;Nancy;Université de Lorraine;2015
Université;19499;670;9951;4828;3639;34172;Montpellier;Université Paul-Valéry - Montpellier 3;2016
Université;8194;345;5467;1682;614;56121;Lorient;Université Bretagne Sud;2016
Université;27949;1387;15804;4705;5076;69387;Lyon 7e;Université Jean Moulin - Lyon 3;2016
Université;27739;1461;16884;6046;2540;80021;Amiens;Université de Picardie Jules-Verne;2016
Université;26656;1943;17888;3602;2227;35238;Rennes;Université de Rennes 1;2016
Université;11091;391;6673;2384;1396;62041;Arras;Université d'Artois;2016
Grand établissement;10818;976;6726;926;1896;75116;Paris 16e;Université Paris Dauphine - PSL;2016
Autre établissement;1874;201;1189;95;389;33318;Pessac;Sciences Po Bordeaux;2016
Grand établissement;6986;573;3533;1671;1209;75113;Paris 13e;Institut national des langues et civilisations orientales;2016
École;454;85;292;11;66;34172;Montpellier;École nationale supérieure de chimie de Montpellier;2016
Université;32302;4046;18564;5046;4603;75106;Paris  6e;Université de Paris;2016
Grand établissement;2385;293;1704;143;245;33522;Talence;Bordeaux INP;2016
Université;13820;798;8414;2825;1233;78646;Versailles;Université de Versailles Saint-Quentin-en-Yvelines;2016
Université;8193;355;5080;1541;1075;17300;La Rochelle;La Rochelle Université;2016
Université;14512;626;9594;3326;627;97411;Saint-Denis;Université de La Réunion;2016
École;961;94;769;39;59;63014;Aubière;Clermont Auvergne INP;2016
École;2834;303;1841;130;559;31555;Toulouse;Institut national des sciences appliquées de Toulouse;2016
École;3762;441;2484;200;637;31555;Toulouse;Toulouse INP;2016
Autre établissement;1048;36;305;692;15;97607;Dembeni;Centre Universitaire de Mayotte;2016
Université;19870;1107;10558;3033;4075;59009;Villeneuve-d'Ascq;Université de Lille;2016
Grand établissement;114;17;73;24;;75114;Paris 14e;Observatoire de Paris;2016
Université;22981;1138;15460;3937;1869;29019;Brest;Université de Bretagne Occidentale;2017
École;1980;215;1363;41;361;35238;Rennes;Institut national des sciences appliquées de Rennes;2017
Université;50847;2392;30599;7048;9426;67482;Strasbourg;Université de Strasbourg;2017
Université;8245;330;5654;1530;621;56121;Lorient;Université Bretagne Sud;2017
Université;40176;2164;21595;6232;6777;75105;Paris  5e;Université Paris 1 - Panthéon Sorbonne;2017
École;1266;315;873;27;49;94016;Cachan;École normale supérieure Paris-Saclay;2017
Autre établissement;1714;95;738;194;687;25056;Besançon;Université Bourgogne - Franche-Comté;2017
Université;28636;1429;18006;5796;2594;80021;Amiens;Université de Picardie Jules-Verne;2017
École;6134;746;3731;182;1475;69266;Villeurbanne;Institut national des sciences appliquées de Lyon;2017
Université;43027;2713;26748;6973;5290;38421;Saint-Martin-d'Hères;Université Grenoble Alpes;2017
Autre établissement;1599;183;1052;101;263;13001;Aix-en-Provence;Sciences Po Aix;2017
École;4308;441;2675;199;986;60159;Compiègne;Université de technologie de Compiègne;2017
Université;30468;1250;17133;7054;4458;31555;Toulouse;Université Toulouse - Jean Jaurès;2017
Autre établissement;5485;337;3861;1161;126;59009;Villeneuve-d'Ascq;Université de Lille;2017
Autre établissement;694;89;390;21;194;75105;Paris  5e;Université Paris sciences et lettres;2017
Grand établissement;1091;80;431;188;392;75114;Paris 14e;École pratique des hautes études;2017
École;480;94;342;21;23;91477;Palaiseau;Institut d'optique Graduate School;2017
Université;22154;884;9565;5710;5987;93066;Saint-Denis;Université Paris 8 - Vincennes - Saint-Denis;2017
Université;20026;878;11962;4644;2279;95127;Cergy;CY Cergy Paris Université;2017
Université;3098;842;1162;550;544;98818;Nouméa;Université de la Nouvelle-Calédonie;2017
Université;14739;624;9998;3109;675;97411;Saint-Denis;Université de La Réunion;2017
École;676;57;488;40;91;29019;Brest;École nationale d'ingénieurs de Brest;2017
Université;18779;903;11063;3462;2895;42218;Saint-Étienne;Université Jean Monnet;2017
École;869;94;615;100;60;95127;Cergy;École nationale supérieure de l'électronique et de ses applications de Cergy;2017
École;471;79;248;10;134;75105;Paris  5e;Chimie ParisTech-PSL;2017
Université;6768;245;4006;1557;869;84007;Avignon;Avignon Université;2017
Grand établissement;183;34;116;11;22;75105;Paris  5e;École nationale des Chartes;2017
École;1811;102;723;329;657;75105;Paris  5e;IAE Paris - Sorbonne Business School;2017
Université;11173;703;7078;2401;573;97120;Pointe-à-Pitre;Université des Antilles;2017
Université;42049;2307;23223;5678;7075;75105;Paris  5e;Université Paris 1 - Panthéon Sorbonne;2018
Université;25327;1526;16093;4054;3215;6088;Nice;Université Côte d'Azur;2018
Université;42453;2635;27189;5615;5870;34172;Montpellier;Université de Montpellier;2018
Autre établissement;1914;99;785;208;822;25056;Besançon;Université Bourgogne - Franche-Comté;2018
École;3172;218;1899;211;844;10387;Troyes;Université de technologie de Troyes;2018
Université;28334;1249;15793;5626;4834;69387;Lyon 7e;Université Lumière - Lyon 2;2018
École;751;101;494;49;107;14118;Caen;École nationale supérieure d'ingénieurs de Caen;2018
Université;31704;2838;19481;4487;4731;75106;Paris  6e;Université de Paris;2018
Université;10324;314;6191;1713;1811;68224;Mulhouse;Université de Haute-Alsace;2018
École;387;32;279;29;47;59512;Roubaix;École nationale supérieure des arts et industries textiles;2018
Université;23576;902;10384;6006;6236;93066;Saint-Denis;Université Paris 8 - Vincennes - Saint-Denis;2018
Grand établissement;427;32;257;51;87;75105;Paris  5e;Muséum national d'histoire naturelle;2018
Université;8294;350;5499;1266;1019;17300;La Rochelle;La Rochelle Université;2018
École;1052;106;810;57;79;63014;Aubière;Clermont Auvergne INP;2018
École;779;69;572;43;94;25056;Besançon;École nationale supérieure de mécanique et des microtechniques;2018
Université;21645;727;11564;4755;4302;93079;Villetaneuse;Université Sorbonne Paris Nord;2018
Grand établissement;5928;683;4114;474;654;75113;Paris 13e;Arts et Métiers Sciences et Technologies;2018
École;1963;466;1239;68;190;69387;Lyon 7e;École normale supérieure de Lyon;2018
Université;31648;1915;21681;3828;2586;31555;Toulouse;Université Toulouse III - Paul Sabatier;2018
Autre établissement;1036;47;359;593;37;97607;Dembeni;Centre Universitaire de Mayotte;2018
École;850;101;588;92;69;95127;Cergy;École nationale supérieure de l'électronique et de ses applications de Cergy;2018
Grand établissement;98;3;76;19;;75114;Paris 14e;Observatoire de Paris;2018
Université;23270;1669;15123;2819;2013;91471;Orsay;Université Paris-Saclay;2018
Université;54897;2551;33722;6806;10374;67482;Strasbourg;Université de Strasbourg;2019
Université;19978;967;13614;2980;1791;31555;Toulouse;Université Toulouse Capitole;2019
Université;10335;417;7261;1648;843;56121;Lorient;Université Bretagne Sud;2019
Université;26917;1420;16219;3392;4679;69387;Lyon 7e;Université Jean Moulin - Lyon 3;2019
Grand établissement;5591;392;3062;1164;973;75113;Paris 13e;Institut national des langues et civilisations orientales;2019
Université;13792;517;8433;2486;1958;59606;Valenciennes;Université Polytechnique Hauts-de-France;2019
Autre établissement;1542;181;1196;53;112;59350;Lille;Sciences Po Lille;2019
Université;36134;1798;23504;4684;4971;63113;Clermont-Ferrand;Université Clermont Auvergne;2019
Université;47120;4561;28179;4627;8339;91538;Saint-Aubin;Université Paris-Saclay;2019
Université;7693;228;4601;1194;1422;76351;Le Havre;Université Le Havre Normandie;2019
Université;15657;765;10380;2655;1501;33318;Pessac;Université Bordeaux Montaigne;2019
École;2646;192;1830;143;481;90094;Sevenans;Université de technologie de Belfort-Montbéliard;2019
École;1674;151;1133;70;318;18033;Bourges;Institut national des sciences appliquées Centre Val de Loire;2019
Grand établissement;2584;274;1870;90;350;33522;Talence;Bordeaux INP;2019
Université;17408;851;11193;2977;1778;78646;Versailles;Université de Versailles Saint-Quentin-en-Yvelines;2019
Université;8432;378;5742;1153;1008;17300;La Rochelle;La Rochelle Université;2019
Université;56927;4278;31905;7101;8112;75106;Paris  6e;Sorbonne Université;2019
École;1112;124;840;50;98;63014;Aubière;Clermont Auvergne INP;2019
École;805;61;579;39;126;29019;Brest;École nationale d'ingénieurs de Brest;2019
Autre établissement;1453;127;1064;76;186;31555;Toulouse;Sciences Po Toulouse;2019
École;3023;287;2005;132;599;31555;Toulouse;Institut national des sciences appliquées de Toulouse;2019
École;384;101;264;10;9;35047;Bruz;École normale supérieure de Rennes;2019
Université;19277;876;13195;2546;2232;87085;Limoges;Université de Limoges;2019
Université;20726;816;13176;3693;2750;35238;Rennes;Université Rennes 2;2019
École;508;85;291;4;128;;;Chimie ParisTech-PSL;2019
Université;36078;1351;22562;7288;4665;94028;Créteil;Université Paris-Est Créteil;2019
Université;7048;247;4344;1403;952;84007;Avignon;Avignon Université;2019
École;2144;308;1403;37;396;59009;Villeneuve-d'Ascq;Centrale Lille Institut;2020
Université;55259;4670;35674;7063;7838;75106;Paris  6e;Université de Paris;2020
Autre établissement;347;32;116;31;168;77083;Champs-sur-Marne;Paris-Est Sup;2020
Université;43323;2545;31025;4935;3127;44109;Nantes;Université de Nantes;2020
Université;49033;3053;32650;6083;6108;34172;Montpellier;Université de Montpellier;2020
Autre établissement;2006;185;1382;168;271;;;Sciences Po Grenoble;2020
Université;52860;3280;36184;6228;5232;33522;Talence;Université de Bordeaux;2020
Université;27987;1306;16780;5070;3936;69387;Lyon 7e;Université Lumière - Lyon 2;2020
Autre établissement;1569;186;1243;56;84;59350;Lille;Sciences Po Lille;2020
Université;7740;268;4720;1257;1231;76351;Le Havre;Université Le Havre Normandie;2020
École;1174;86;964;57;67;65440;Tarbes;École nationale d'ingénieurs de Tarbes;2020
Université;4831;180;3539;709;346;2B096;Corte;Université de Corse Pasquale Paoli;2020
École;1717;145;1173;66;333;18033;Bourges;Institut national des sciences appliquées Centre Val de Loire;2020
École;451;82;311;10;48;;;Institut d'optique Graduate School;2020
Grand établissement;2567;263;1884;81;339;33522;Talence;Bordeaux INP;2020
Université;73883;4632;50326;10581;7622;59350;Lille;Université de Lille;2020
Université;15588;804;10458;2339;1462;78646;Versailles;Université de Versailles Saint-Quentin-en-Yvelines;2020
École;800;80;586;42;88;25056;Besançon;École nationale supérieure de mécanique et des microtechniques;2020
Université;27152;1578;19172;3258;2189;37261;Tours;Université de Tours;2020
École;3054;295;2075;130;554;31555;Toulouse;Institut national des sciences appliquées de Toulouse;2020
École;2912;463;1893;105;451;69081;Écully;Centrale Lyon;2020
École;2332;308;1136;53;835;44109;Nantes;Centrale Nantes;2020
École;486;131;331;13;11;35047;Bruz;École normale supérieure de Rennes;2020
École;501;45;371;19;66;35238;Rennes;École nationale supérieure de chimie de Rennes;2020
Université;34436;1968;24234;4072;2599;31555;Toulouse;Université Toulouse III - Paul Sabatier;2020
Autre établissement;1256;73;508;666;9;97607;Dembeni;Centre Universitaire de Mayotte;2020
Université;18878;915;12970;2872;1601;42218;Saint-Étienne;Université Jean Monnet;2020
Université;22019;889;14705;3804;2355;35238;Rennes;Université Rennes 2;2020
École;505;84;286;5;130;;;Chimie ParisTech-PSL;2020
Université;38003;1443;24340;7430;4411;94028;Créteil;Université Paris-Est Créteil;2020
Université;11411;372;7376;1643;1868;59183;Dunkerque;Université du Littoral Côte d'Opale;2020
Université;13011;750;8822;2210;850;97120;Pointe-à-Pitre;Université des Antilles;2020
Université;14744;662;10117;1900;1475;73065;Chambéry;Université Savoie Mont Blanc;2020
École;1395;139;1033;73;150;35238;Rennes;Institut national des sciences appliquées de Rennes;2006
Université;14284;385;7038;4716;1848;57463;Metz;Université de Lorraine;2006
Autre établissement;448;24;150;244;30;97302;Cayenne;Université de Guyane;2006
Université;21125;1099;9902;6156;3160;13203;Marseille  3e;Aix-Marseille Université;2006
Université;35632;2413;16402;8883;6653;75105;Paris  5e;Université Paris 1 - Panthéon Sorbonne;2006
Autre établissement;1447;162;965;130;190;38421;Saint-Martin-d'Hères;Sciences Po Grenoble;2006
École;670;174;404;43;49;75105;Paris  5e;École normale supérieure PSL;2006
École;4676;758;1746;79;2093;69266;Villeurbanne;Institut national des sciences appliquées de Lyon;2006
Université;20508;1307;11582;5017;2491;34172;Montpellier;Université de Montpellier;2006
Autre établissement;1464;110;1000;336;18;14118;Caen;Université de Caen Normandie;2006
Autre établissement;4387;223;2375;1653;136;94011;Bonneuil-sur-Marne;Université Paris-Est Créteil;2006
Autre établissement;1295;199;923;67;103;59350;Lille;Sciences Po Lille;2006
Université;23451;1516;11774;7447;2579;76451;Mont-Saint-Aignan;Université de Rouen Normandie;2006
Autre établissement;302;28;217;57;;2B096;Corte;Université de Corse Pasquale Paoli;2006
École;684;70;430;95;89;14118;Caen;École nationale supérieure d'ingénieurs de Caen;2006
Université;17622;974;10180;4288;2059;49007;Angers;Université d'Angers;2006
Autre établissement;858;115;625;105;13;35238;Rennes;Sciences Po Rennes;2006
École;906;75;664;158;6;65440;Tarbes;École nationale d'ingénieurs de Tarbes;2006
Université;15600;756;7822;4547;2202;33318;Pessac;Université Bordeaux Montaigne;2006
Autre établissement;6644;376;3693;2425;150;78646;Versailles;CY Cergy Paris Université;2006
École;818;102;481;99;136;33522;Talence;Bordeaux INP;2006
École;241;68;164;8;1;91477;Palaiseau;Institut d'optique Graduate School;2006
Université;9935;236;4029;4250;1299;91228;Évry-Courcouronnes;Université d'Évry-Val-d'Essonne;2006
École;250;29;106;49;66;59512;Roubaix;École nationale supérieure des arts et industries textiles;2006
École;1380;114;785;274;207;76451;Mont-Saint-Aignan;Institut national des sciences appliquées de Rouen Normandie;2006
École;215;29;174;6;6;63014;Aubière;Clermont Auvergne INP;2006
Autre établissement;4242;299;2692;1063;188;69384;Lyon 4e;Université Claude Bernard - Lyon 1;2006
Autre établissement;1724;139;1136;417;32;86194;Poitiers;Université de Poitiers;2006
Université;2412;567;848;771;226;98818;Nouméa;Université de la Nouvelle-Calédonie;2006
Université;10579;494;6015;3289;771;97411;Saint-Denis;Université de La Réunion;2006
Université;21817;1235;12551;5528;2475;37261;Tours;Université de Tours;2006
Université;20081;636;7557;7563;4251;93079;Villetaneuse;Université Sorbonne Paris Nord;2006
École;3554;440;2252;241;621;54547;Vandœuvre-lès-Nancy;Université de Lorraine;2006
Autre établissement;3366;239;2265;788;72;33281;Mérignac;Université de Bordeaux;2006
École;768;36;474;170;88;57463;Metz;Université de Lorraine;2006
École;1243;208;787;88;160;44109;Nantes;Centrale Nantes;2006
École;278;13;170;73;22;41018;Blois;Institut national des sciences appliquées Centre Val de Loire;2006
École;393;44;291;11;47;35238;Rennes;École nationale supérieure de chimie de Rennes;2006
École;3250;398;2049;212;591;31555;Toulouse;Toulouse INP;2006
Université;18558;972;9174;4434;3966;59009;Villeneuve-d'Ascq;Université de Lille;2006
Autre établissement;1466;78;1033;334;21;63075;Chamalières;Université Clermont Auvergne;2006
Université;26188;1905;13097;6204;3928;91471;Orsay;Université Paris-Saclay;2006
Grand établissement;5252;870;3168;337;877;75107;Paris  7e;Sciences Po;2006
Autre établissement;3389;225;2093;977;94;13204;Marseille  4e;Aix-Marseille Université;2006
Université;12116;647;6735;3481;1247;34172;Montpellier;Université de Montpellier;2006
Université;11493;509;6248;3340;1316;73065;Chambéry;Université Savoie Mont Blanc;2006
Université;11341;396;5240;2701;2888;67482;Strasbourg;Université de Strasbourg;2007
Grand établissement;4874;629;3045;313;887;38185;Grenoble;Institut polytechnique de Grenoble;2007
Université;13689;329;6765;4301;1997;57463;Metz;Université de Lorraine;2007
Université;14578;568;7594;4008;2324;31555;Toulouse;Université Toulouse Capitole;2007
Université;19888;1034;9598;5642;2981;13203;Marseille  3e;Aix-Marseille Université;2007
Université;34868;2326;16542;8235;6602;75105;Paris  5e;Université Paris 1 - Panthéon Sorbonne;2007
Université;10580;468;5168;3582;1183;77083;Champs-sur-Marne;Université Gustave Eiffel;2007
Université;20525;1319;11817;4791;2459;34172;Montpellier;Université de Montpellier;2007
Autre établissement;1406;84;939;357;26;14118;Caen;Université de Caen Normandie;2007
École;693;126;411;23;133;69387;Lyon 7e;École normale supérieure de Lyon;2007
Autre établissement;1079;80;767;217;15;97411;Saint-Denis;Université de La Réunion;2007
Université;14240;553;7541;4041;2101;45234;Orléans;Université d'Orléans;2007
Université;17638;937;10308;4197;2109;49007;Angers;Université d'Angers;2007
Université;9433;216;3804;3950;1368;91228;Évry-Courcouronnes;Université d'Évry-Val-d'Essonne;2007
Grand établissement;23;4;17;2;;35238;Rennes;École des hautes études en santé publique;2007
Autre établissement;3982;265;2603;972;142;69384;Lyon 4e;Université Claude Bernard - Lyon 1;2007
Autre établissement;2438;179;1693;521;44;45234;Orléans;Université d'Orléans;2007
Université;16058;1034;9982;3141;1901;54395;Nancy;Université de Lorraine;2007
Autre établissement;2151;95;1511;420;125;67482;Strasbourg;Université de Strasbourg;2007
Université;24419;2180;15487;4620;2129;59350;Lille;Université de Lille;2007
École;3175;366;2032;218;559;31555;Toulouse;Toulouse INP;2007
Université;13241;524;7441;3692;1464;42218;Saint-Étienne;Université Jean Monnet;2007
Université;12906;544;6723;3530;1897;33318;Pessac;Université de Bordeaux;2007
Grand établissement;105;25;71;3;6;75105;Paris  5e;École nationale des Chartes;2007
Université;17759;1711;10870;3677;1481;33063;Bordeaux;Université de Bordeaux;2007
Université;10196;373;5231;2935;1657;59183;Dunkerque;Université du Littoral Côte d'Opale;2007
Université;2542;154;1237;968;183;98738;Punaauia;Université de la Polynésie Française;2007
École;607;99;412;11;85;13213;Marseille 13e;Centrale Marseille;2008
Autre établissement;545;35;278;172;60;97209;Fort-de-France;Université des Antilles;2008
Université;41150;1866;23360;7849;7817;67482;Strasbourg;Université de Strasbourg;2008
Université;21648;1217;11798;6311;2191;51454;Reims;Université de Reims Champagne-Ardenne;2008
Grand établissement;66;8;46;5;7;69266;Villeurbanne;École nationale supérieure des sciences de l'information et des bibliothèques;2008
Autre établissement;442;22;157;229;34;97302;Cayenne;Université de Guyane;2008
Université;21993;1158;11017;5964;3248;13203;Marseille  3e;Aix-Marseille Université;2008
Autre établissement;506;34;271;174;26;97120;Pointe-à-Pitre;Université des Antilles;2008
École;2361;145;1295;334;587;10387;Troyes;Université de technologie de Troyes;2008
Université;8807;276;4231;2039;1818;72181;Le Mans;Le Mans Université;2008
Université;23280;1468;12687;6641;2372;76451;Mont-Saint-Aignan;Université de Rouen Normandie;2008
Université;3005;110;1577;1169;120;30189;Nîmes;Université de Nîmes;2008
École;676;59;435;93;89;14118;Caen;École nationale supérieure d'ingénieurs de Caen;2008
Université;16051;550;9295;4453;1745;54395;Nancy;Université de Lorraine;2008
Université;3761;217;2087;918;484;2B096;Corte;Université de Corse Pasquale Paoli;2008
Grand établissement;1121;80;405;213;423;75107;Paris  7e;École pratique des hautes études;2008
Université;10006;384;5220;3222;1077;59032;Aulnoy-lez-Valenciennes;Université Polytechnique Hauts-de-France;2008
École;1534;125;1174;161;74;67482;Strasbourg;Institut national des sciences appliquées de Strasbourg;2008
Université;11310;550;6831;3273;654;97411;Saint-Denis;Université de La Réunion;2008
Université;20555;1198;12412;4899;2042;37261;Tours;Université de Tours;2008
Université;33267;2864;20375;6730;3292;69266;Villeurbanne;Université Claude Bernard - Lyon 1;2008
École;1583;327;961;41;254;91272;Gif-sur-Yvette;CentraleSupélec;2008
