Type d'établissement;Nombre d'étudiants inscrits (inscriptions principales) y compris doubles inscriptions CPGE;Âge au baccalauréat : En avance au bac d'un an ou plus;Âge au baccalauréat : A l'heure;Âge au baccalauréat : En retard au bac d'un an ou plus;Âge au baccalauréat : Non renseigné ou non bachelier;etablissement_code_commune;etablissement_commune;Dernier établissement;rentree
Université;18221;1278;11062;3643;2103;38185;Grenoble;Université Grenoble Alpes;2008
Université;10858;430;5820;3025;1193;64445;Pau;Université de Pau et des Pays de l'Adour;2008
École;839;83;480;72;204;33522;Talence;Bordeaux INP;2008
Université;17532;912;9551;5254;1760;59009;Villeneuve-d'Ascq;Université de Lille;2008
Université;8484;191;3629;3473;1178;91228;Évry-Courcouronnes;Université d'Évry-Val-d'Essonne;2008
École;253;22;205;7;19;63014;Aubière;Clermont Auvergne INP;2008
Université;16991;772;9107;5581;1495;95127;Cergy;CY Cergy Paris Université;2008
Université;5724;361;3230;1244;888;38421;Saint-Martin-d'Hères;Université Grenoble Alpes;2008
Autre établissement;1603;153;1112;136;199;31555;Toulouse;Sciences Po Toulouse;2008
École;2470;246;1614;110;500;31555;Toulouse;Institut national des sciences appliquées de Toulouse;2008
École;1483;316;809;20;338;69081;Écully;Centrale Lyon;2008
Université;28873;1335;12673;9577;4276;92050;Nanterre;Université Paris Nanterre;2008
Université;24071;1234;13472;5353;3586;86194;Poitiers;Université de Poitiers;2008
École;139;7;94;37;1;41018;Blois;Institut national des sciences appliquées Centre Val de Loire;2008
Université;19470;982;10248;4914;3004;13001;Aix-en-Provence;Aix-Marseille Université;2008
Université;26378;1702;16612;6373;1688;31555;Toulouse;Université Toulouse III - Paul Sabatier;2008
Université;9304;271;3644;2370;3019;66136;Perpignan;Université de Perpignan Via Domitia;2008
Université;14018;555;8036;3226;1819;87085;Limoges;Université de Limoges;2008
École;282;53;186;11;32;75105;Paris  5e;Chimie ParisTech-PSL;2008
Université;15733;751;8991;3956;1915;33318;Pessac;Université de Bordeaux;2008
Université;6252;229;3196;1947;807;84007;Avignon;Avignon Université;2008
Université;14714;801;8690;3709;1514;34172;Montpellier;Université de Montpellier;2008
Grand établissement;4246;538;2819;253;634;38185;Grenoble;Institut polytechnique de Grenoble;2009
Université;16683;687;9028;4288;2608;31555;Toulouse;Université Toulouse Capitole;2009
Université;24737;2177;12548;4722;4941;75113;Paris 13e;Université de Paris;2009
Université;8203;230;4463;2447;850;56121;Lorient;Université Bretagne Sud;2009
Université;35391;2251;17710;7991;6352;75105;Paris  5e;Université Paris 1 - Panthéon Sorbonne;2009
Université;19884;896;11583;5252;2150;25056;Besançon;Université de Franche-Comté;2009
Université;21897;1359;12833;4774;2787;34172;Montpellier;Université de Montpellier;2009
Université;23790;1398;14331;4616;2503;35238;Rennes;Université de Rennes 1;2009
Université;10110;291;4376;2113;2844;72181;Le Mans;Le Mans Université;2009
Université;25831;1172;13000;7184;4304;69387;Lyon 7e;Université Lumière - Lyon 2;2009
École;396;56;288;23;29;34172;Montpellier;École nationale supérieure de chimie de Montpellier;2009
Université;9005;554;5165;2100;1185;33522;Talence;Université de Bordeaux;2009
Université;2489;595;827;653;414;98818;Nouméa;Université de la Nouvelle-Calédonie;2009
École;1585;134;1223;147;81;67482;Strasbourg;Institut national des sciences appliquées de Strasbourg;2009
Université;21456;741;8194;7421;5028;93079;Villetaneuse;Université Sorbonne Paris Nord;2009
École;922;37;506;169;210;57463;Metz;Université de Lorraine;2009
Université;18732;1132;12029;3613;1955;54395;Nancy;Université de Lorraine;2009
École;450;28;288;90;44;41018;Blois;Institut national des sciences appliquées Centre Val de Loire;2009
Grand établissement;5095;506;3460;602;527;75113;Paris 13e;Arts et Métiers Sciences et Technologies;2009
Université;26912;1741;17000;6379;1789;31555;Toulouse;Université Toulouse III - Paul Sabatier;2009
École;3417;356;2155;205;701;31555;Toulouse;Toulouse INP;2009
Université;17004;651;8940;4978;2155;35238;Rennes;Université Rennes 2;2009
Université;16387;779;9409;4092;1994;33318;Pessac;Université de Bordeaux;2009
Grand établissement;107;34;64;1;8;75105;Paris  5e;École nationale des Chartes;2009
École;1656;146;1136;73;301;35238;Rennes;Institut national des sciences appliquées de Rennes;2010
Université;30687;2778;14664;4616;5875;75105;Paris  5e;Sorbonne Université;2010
Grand établissement;90;4;73;6;7;69266;Villeurbanne;École nationale supérieure des sciences de l'information et des bibliothèques;2010
Université;20963;1025;10385;5796;3305;13203;Marseille  3e;Aix-Marseille Université;2010
Université;19578;893;11535;4885;2178;25056;Besançon;Université de Franche-Comté;2010
Autre établissement;1476;176;1012;130;158;38421;Saint-Martin-d'Hères;Sciences Po Grenoble;2010
École;5639;600;3249;261;1529;69266;Villeurbanne;Institut national des sciences appliquées de Lyon;2010
Université;17536;1109;7771;3517;4781;75105;Paris  5e;Université Sorbonne Nouvelle - Paris 3;2010
Université;22377;1395;13241;4662;2943;34172;Montpellier;Université de Montpellier;2010
Université;26693;1227;13520;7398;4312;69387;Lyon 7e;Université Lumière - Lyon 2;2010
Université;3414;94;1762;1301;140;30189;Nîmes;Université de Nîmes;2010
Autre établissement;1103;129;778;70;126;35238;Rennes;Sciences Po Rennes;2010
Grand établissement;1893;219;1267;163;244;33318;Pessac;Bordeaux INP;2010
Grand établissement;137;11;51;17;58;35238;Rennes;École des hautes études en santé publique;2010
Université;16160;702;8838;4367;2249;38185;Grenoble;Université Grenoble Alpes;2010
Université;5858;390;3279;1288;892;38421;Saint-Martin-d'Hères;Université Grenoble Alpes;2010
École;877;58;608;130;81;25056;Besançon;École nationale supérieure de mécanique et des microtechniques;2010
Université;21284;718;8081;7299;5081;93079;Villetaneuse;Université Sorbonne Paris Nord;2010
École;3844;523;2431;274;616;54547;Vandœuvre-lès-Nancy;Université de Lorraine;2010
École;2573;235;1699;123;516;31555;Toulouse;Institut national des sciences appliquées de Toulouse;2010
École;1482;313;803;25;341;69081;Écully;Centrale Lyon;2010
Autre établissement;3377;269;1399;303;1406;38421;Saint-Martin-d'Hères;Université Grenoble Alpes;2010
Autre établissement;1616;172;1088;121;234;69387;Lyon 7e;Sciences Po Lyon;2010
École;152;9;107;34;2;41018;Blois;Institut national des sciences appliquées Centre Val de Loire;2010
École;465;30;301;78;56;41018;Blois;Institut national des sciences appliquées Centre Val de Loire;2010
École;445;48;328;14;55;35238;Rennes;École nationale supérieure de chimie de Rennes;2010
Université;15302;651;8840;3753;2032;33318;Pessac;Université de Bordeaux;2010
Université;26743;1132;13180;8044;4025;94028;Créteil;Université Paris-Est Créteil;2010
Université;6665;248;3416;1965;972;84007;Avignon;Avignon Université;2010
Université;17826;1630;11534;3158;1494;33063;Bordeaux;Université de Bordeaux;2010
Université;10848;361;5755;2910;1821;59183;Dunkerque;Université du Littoral Côte d'Opale;2010
Université;11650;465;6782;3091;1299;73065;Chambéry;Université Savoie Mont Blanc;2010
Université;31372;2841;15159;4511;5919;75105;Paris  5e;Sorbonne Université;2011
Université;18684;848;10963;4526;2256;31555;Toulouse;Université Toulouse Capitole;2011
École;339;35;268;15;21;59009;Villeneuve-d'Ascq;Centrale Lille Institut;2011
Université;38115;2395;19239;7991;6879;75105;Paris  5e;Université Paris 1 - Panthéon Sorbonne;2011
École;2065;390;1292;91;292;94016;Cachan;École normale supérieure Paris-Saclay;2011
Université;33017;1881;20038;6889;3986;44109;Nantes;Université de Nantes;2011
École;816;45;597;115;59;42218;Saint-Étienne;Centrale Lyon;2011
Autre établissement;1810;194;1126;115;375;33318;Pessac;Sciences Po Bordeaux;2011
Autre établissement;1727;186;1239;157;145;13001;Aix-en-Provence;Sciences Po Aix;2011
Université;15371;1121;9075;2853;2291;75105;Paris  5e;Université Panthéon-Assas;2011
